protein,_pdbx_database_status.recvd_initial_deposition_date ,_entity_src_gen.pdbx_gene_src_scientific_name ,_entity_src_gen.pdbx_gene_src_ncbi_taxonomy_id ,_entity_src_gen.pdbx_host_org_scientific_name ,_entity_src_gen.pdbx_host_org_ncbi_taxonomy_id ,_exptl_crystal.density_Matthews ,_exptl_crystal.density_percent_sol ,_exptl_crystal_grow.pH ,_exptl_crystal_grow.temp ,_diffrn.ambient_temp ,_diffrn_detector.pdbx_collection_date ,_diffrn_radiation_wavelength.wavelength ,_reflns.d_resolution_high ,_reflns.d_resolution_low ,_reflns.pdbx_redundancy ,_refine.ls_d_res_high ,_refine.ls_d_res_low ,_refine.ls_R_factor_obs ,_refine.ls_R_factor_R_free ,_refine.ls_R_factor_R_work ,_refine.pdbx_ls_cross_valid_method ,_refine.pdbx_method_to_determine_struct ,_refine.pdbx_solvent_vdw_probe_radii ,_refine.pdbx_solvent_shrinkage_radii ,_refine_hist.d_res_high ,_refine_hist.d_res_low ,_refine_hist.pdbx_number_atoms_protein ,_refine_hist.pdbx_number_atoms_ligand ,_refine_hist.number_atoms_solvent 
4il7,2012-12-29,'SULFOLOBUS TURRETED ICOSAHEDRAL VIRUS',269145,'ESCHERICHIA COLI',469008,1.52,19.30,5.6,298,100,2010-05-28,0.95369,1.370,50.000,5.900,1.40,19.34,0.14136,0.16506,0.14017,THROUGHOUT,SAD,1.20,0.80,1.40,19.34,631,0,102
3qxb,2011-03-01,'RHODOSPIRILLUM RUBRUM',269796,'ESCHERICHIA COLI',562,2.14,42.63,7.1,277,100,2009-07-30,0.97911,1.90,29.683,2.900,1.9000,29.683,0.1519,0.1916,0.1498,THROUGHOUT,SAD,1.4000,0.8000,1.9000,29.683,9445,89,972
4bpz,2013-05-29,'ZOBELLIA GALACTANIVORANS',63186,'ESCHERICHIA COLI',469008,2.08,40.93,4,,100,2011-07-07,0.97625,1.13,47.56,4.9,1.13,71.34,0.14404,0.17452,0.14241,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.13,71.34,4054,70,584
5b7y,2016-06-10,'THERMOTOGA MARITIMA MSB8',243274,'ESCHERICHIA COLI BL21(DE3)',469008,2.32,47.05,6.0,293,100,2016-06-03,0.97960,1.319,50.0,3.5,1.32,35.152,0.1723,0.1886,0.1714,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.32,35.152,4264,93,676
1nz0,2003-02-14,'THERMOTOGA MARITIMA',2336,'ESCHERICHIA COLI',562,2.28,41.10,5.2,298,100.0,2001-05-11,0.9792,1.20,30.0,6.53,1.20,30.00,0.1625,0.217,0.1625,'FREE R',MAD,,,1.20,30.00,3964,80,533
3x0f,2014-10-14,'MUS MUSCULUS',10090,'ESCHERICHIA COLI',562,1.95,36.94,5.5,295,100,2014-02-10,1.000020,1.471,44.617,3.30,1.471,36.231,0.1997,0.2437,0.1972,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.98,1.471,36.231,1339,16,85
5ijm,2016-03-02,'LEISHMANIA MAJOR',5664,'ESCHERICHIA COLI BL21(DE3)',469008,2.02,39.09,5.2,291,100,2014-10-09,1.54178,1.46,30.31,3.5,1.46,30.31,0.16076,0.17699,0.15983,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.46,30.31,751,0,170
5d7w,2015-08-14,'SERRATIA MARCESCENS',615,SERRATIA,613,3.35,63.29,6.3,289,100,2014-04-02,0.9792,1.1,20,7.01,1.1,19.628,0.1759,0.1861,0.1754,THROUGHOUT,'MOLECULAR REPLACEMENT',1.11,0.90,1.1,19.628,3561,20,696
4gwb,2012-09-01,'SINORHIZOBIUM MELILOTI',266834,'ESCHERICHIA COLI',469008,2.02,39.18,7.5,298,100,2012-07-28,0.9791,1.200,50.000,5.500,1.2000,20.0000,0.1599,0.1802,0.1589,THROUGHOUT,SAD,1.2000,0.8000,1.2000,20.0000,1340,2,215
2i3g,2006-08-18,'MYCOBACTERIUM TUBERCULOSIS',83332,'ESCHERICHIA COLI',562,2.66,53.72,5.5,295,100,2006-04-14,1.11587,1.85,50.0,,1.85,50.00,0.16336,0.20498,0.1612,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.85,50.00,5020,124,688
2w1q,2008-10-20,'CLOSTRIDIUM PERFRINGENS',1502,'ESCHERICHIA COLI',562,1.88,34.01,,,113.15,,1.5418,1.60,19.89,3.48,1.60,49.39,0.152,0.199,0.149,THROUGHOUT,OTHER,1.40,0.80,1.60,49.39,2208,18,475
2ggq,2006-03-24,'SULFOLOBUS TOKODAII',111955,'ESCHERICHIA COLI',562,3.11,60.40,8.0,293,100,2005-11-11,1.000,2.00,50.00,,2.00,20.00,0.19354,0.25162,0.19058,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,2.00,20.00,3141,32,197
5ws7,2016-12-05,'HOMO SAPIENS',9606,'ESCHERICHIA COLI BL21(DE3)',469008,1.90,35.21,,293,100,2016-10-09,0.9,1.00,50.00,9.6,1.000,37.608,0.1180,0.1377,0.1169,'FREE R-VALUE','FOURIER SYNTHESIS',1.11,0.90,1.000,37.608,2540,66,492
5i24,2016-02-08,'CELLVIBRIO JAPONICUS (STRAIN UEDA107)',498211,'ESCHERICHIA COLI BL21(DE3)',469008,3.06,59.75,7.0,293,100,2016-01-25,0.9795,1.85,170.87,24.5,1.85,170.87,0.17002,0.18813,0.16905,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.85,170.87,6229,70,635
5hm7,2016-01-15,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.06,40.36,7.2,298,100,2015-06-17,1.033,1.930,72.920,17.10,1.93,72.92,0.198,0.227,0.197,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.70,1.93,72.92,3242,36,140
3ois,2010-08-19,'XYLELLA FASTIDIOSA',2371,'ESCHERICHIA COLI',469008,2.09,41.10,5.6,298,100,2005-03-04,1.5418,1.650,78.664,8.100,1.6500,23.06,0.1685,0.2159,0.1660,THROUGHOUT,SAD,1.4000,0.8000,1.6500,23.06,8578,100,1435
3q9o,2011-01-09,'VIBRIO CHOLERAE',666,'ESCHERICHIA COLI',562,2.52,51.26,7.5,298,100,2008-01-23,0.97934,1.793,20.000,3.6,1.793,19.9310,0.1651,0.2035,0.1630,THROUGHOUT,'MOLECULAR REPLACEMENT',1.1100,0.9000,1.793,19.9310,4745,62,402
5m5t,2016-10-22,'BOS TAURUS',9913,'ESCHERICHIA COLI BL21(DE3)',469008,,,8,293,100,2015-01-24,0.91742,1.70,33.6,3.9,1.70,33.59,0.15927,0.18507,0.15799,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.70,33.59,5962,6,1019
6bm5,2017-11-13,'ESCHERICHIA COLI',83333,'ESCHERICHIA COLI',562,2.17,43.29,7.4,293,100,2016-08-12,0.9786,1.500,50.000,5.400,1.5,37.1990,0.1482,0.1935,0.1459,THROUGHOUT,'MOLECULAR REPLACEMENT',1.1100,0.9000,1.5,37.1990,2557,27,484
5ko5,2016-06-29,'SCHISTOSOMA MANSONI',6183,'ESCHERICHIA COLI',562,2.58,52.34,6.5,291,100,2015-07-21,0.9795,1.360,49.567,10.600,1.3600,49.5670,0.1754,0.1916,0.1746,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.3600,49.5670,2162,20,347
2rbg,2007-09-19,'SULFOLOBUS TOKODAII',111955,'ESCHERICHIA COLI',562,2.11,41.69,7.5,293,100,2007-06-16,,1.75,50.0,,1.75,33.49,0.173,0.196,0.173,THROUGHOUT,MAD,,,1.75,33.49,2060,5,316
4zav,2015-04-14,'PSEUDOMONAS AERUGINOSA',287,'ESCHERICHIA COLI',562,2.67,54.02,,297,100,2014-02-14,0.98,1.4,50.27,6.8,1.40,50.27,0.09927,0.12900,0.09769,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.40,50.27,1549,54,194
1vl7,2004-07-13,'NOSTOC SP.',103690,'ESCHERICHIA COLI',562,2.20,43.74,,293,100,2004-04-02,1.000042,1.50,43.05,4.68,1.50,43.05,0.15589,0.18276,0.15443,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.50,43.05,2139,32,269
1whz,2004-05-28,'THERMUS THERMOPHILUS',274,'ESCHERICHIA COLI',562,1.68,26.66,9.2,293,100,2004-03-13,,1.52,36.99,,1.52,36.99,0.148,0.209,0.148,THROUGHOUT,MAD,,,1.52,36.99,576,1,120
4hdd,2012-10-02,'ESCHERICHIA COLI',562,'ESCHERICHIA COLI',562,,,,,,,,1.350,45.058,,1.3500,45.0580,0.1629,0.1820,0.1618,,MAD,1.1100,0.9000,1.3500,45.0580,522,4,66
4mv4,2013-09-23,'HAEMOPHILUS INFLUENZAE',71421,'ESCHERICHIA COLI',562,2.13,42.36,,295.15,100,2012-12-14,0.98,1.61,42.60,2.3,1.610,42.60,0.1557,0.1843,0.1542,THROUGHOUT,'MOLECULAR REPLACEMENT',1.11,0.90,1.610,42.60,3394,41,302
5el9,2015-11-04,'ARABIDOPSIS THALIANA',3702,'ESCHERICHIA COLI BL21(DE3)',469008,2.66,53.73,8.5,290,100,2011-07-11,0.97960,1.1,45.98,16.5,1.10,45.98,0.11453,0.12917,0.11377,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.10,45.98,1533,51,204
1ok0,2003-07-16,,,,,2.00,38.58,1.50,,100.0,1999-02-15,0.911,0.930,40.000,6.900,0.93,10.0,0.1026,0.1300,,THROUGHOUT,'MOLECULAR REPLACEMENT',,,0.93,10.0,558,13,159
4n7i,2013-10-15,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',511693,2.51,50.95,7.2,298,100,2012-08-20,1.033,1.40,25.00,,1.4015,21.0300,0.1367,0.1664,0.1351,,'MOLECULAR REPLACEMENT',1.1100,0.9000,1.4015,21.0300,1514,22,203
3nur,2010-07-07,'STAPHYLOCOCCUS AUREUS',1280,'ESCHERICHIA COLI',562,2.32,46.90,6.5,293,100,2007-10-27,0.9796,1.75,92.13,14.11,1.75,63.78,0.1705,0.1956,0.1692,THROUGHOUT,SAD,,,1.75,63.78,2463,1,242
3g0m,2009-01-28,'SALMONELLA TYPHIMURIUM LT2',99287,'ESCHERICHIA COLI',562,1.88,34.58,6.5,292,100,2008-12-03,0.9794,1.76,40.0,3.5,1.76,40.00,0.18774,0.23972,0.18503,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.76,40.00,1101,15,62
5m2j,2016-10-13,,,,,2.30,46.56,,293,100,2005-10-18,0.931,1.9,48.3,2.9,1.90,48.28,0.1602,0.1962,0.1583,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.90,48.28,1966,0,351
1gui,2002-01-27,'THERMOTOGA MARITIMA',2336,'ESCHERICHIA COLI',511693,4.8,75,4.60,,100.0,2000-10-15,0.93,1.900,35.000,7.100,1.90,20.00,0.173,0.197,0.172,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.90,20.00,1252,98,111
4z2o,2015-03-30,,,,,1.80,31.67,,293,100,2013-06-26,0.96,1.17,50,5.5,1.17,38.96,0.14018,0.16576,0.13885,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.17,38.96,1035,0,129
5bov,2015-05-27,'KLEBSIELLA PNEUMONIAE SUBSP. PNEUMONIAE (STRAIN ATCC 700721 / MGH 78578)',272620,'ESCHERICHIA COLI',562,2.20,43.99,,293,100,2015-03-26,0.97907,1.60,42.848,3.916,1.6000,42.848,0.1498,0.1739,0.1485,THROUGHOUT,SAD,1.2000,0.8000,1.6000,42.848,9395,0,1880
5n9m,2017-02-25,'STAPHYLOCOCCUS AUREUS SUBSP. AUREUS COL',93062,'ESCHERICHIA COLI',562,2.29,46.22,,294,100,2013-02-17,1,1.85,36.44,21.7,1.850,36.435,0.1505,0.1863,0.1486,'FREE R-VALUE',SAD,1.11,0.90,1.850,36.435,3830,23,625
4xot,2015-01-16,'ENTEROBACTERIA PHAGE HK620',155148,'ESCHERICHIA COLI BL21',511693,2.16,42.92,8.5,298,100,2014-01-28,0.91841,1.060,43.670,5.200,1.0600,43.670,0.1065,0.1296,0.1053,THROUGHOUT,'MOLECULAR REPLACEMENT',1.2000,0.8000,1.0600,43.670,4532,103,852
5a89,2015-07-13,'CORYNEBACTERIUM AMMONIAGENES',1697,'ESCHERICHIA COLI',469008,2.23,45,5,,100,,0.933,1.65,35.24,5.3,1.65,57.62,0.14577,0.17551,0.14349,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.65,57.62,2354,142,382
5mjr,2016-12-01,'THERMOSYNECHOCOCCUS ELONGATUS',146786,'ESCHERICHIA COLI',562,2.28,46,5.0,291,100,2012-03-03,0.91730,1.38,42.89,13.56,1.38,42.89,0.11571,0.15544,0.11356,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.38,42.89,1504,5,240
6f0q,2017-11-20,'SYNTHETIC CONSTRUCT',32630,'ESCHERICHIA COLI',562,1.86,33.99,,291.15,100,2016-07-21,1.0000,1.30,26.501,3.2,1.300,26.501,0.1571,0.1920,0.1553,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.300,26.501,3580,0,663
2wfp,2009-04-13,'SALMONELLA TYPHIMURIUM',99287,'ESCHERICHIA COLI',562,2.2,43.6,6.5,,293,,1.5418,1.66,30.00,19.4,1.67,29.03,0.190,0.216,0.189,THROUGHOUT,OTHER,1.20,0.80,1.67,29.03,2964,64,372
5fuk,2016-01-27,,,,,2.17,43,,,100,2013-06-28,0.9393,1.55,50.00,3.3,1.55,32.36,0.15628,0.18297,0.15485,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.55,32.36,3566,366,643
